DateTimeOfCall,HourlyNotionalCost,IncidentNotionalCost,AnimalGroupParent,PropertyCategory,SpecialServiceTypeCategory,SpecialServiceType,Area
10/01/2009 16:38,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
11/01/2009 10:11,255,765,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Harolds Cross
11/01/2009 12:32,255,255,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Perrystown
12/01/2009 13:10,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Crumlin
12/01/2009 16:39,255,255,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
14/01/2009 06:38,255,255,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Walkinstown
15/01/2009 12:38,255,255,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
17/01/2009 11:40,255,255,Dog,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Donnybrook
17/01/2009 18:08,255,510,Dog,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Killester
18/01/2009 11:08,255,255,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Ballymun
18/01/2009 16:19,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Perrystown
21/01/2009 00:43,255,255,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
21/01/2009 10:33,255,765,Fox,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,Leopardstown
21/01/2009 14:04,255,510,Dog,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dundrum
21/01/2009 21:55,255,255,Fox,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Ballyfermot
22/01/2009 21:35,255,255,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Tallaght
24/01/2009 10:31,255,255,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dundrum
25/01/2009 10:26,255,255,Cat,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Drumcondra
25/01/2009 12:11,255,765,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Donnybrook
25/01/2009 15:27,255,255,Unknown - Domestic Animal Or Pet,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
25/01/2009 16:01,255,255,Dog,Outdoor,Other animal assistance,Animal assistance - Lift heavy livestock animal,Sutton
27/01/2009 10:49,255,255,Squirrel,Non Residential,Animal rescue from height,Wild animal rescue from height,Walkinstown
27/01/2009 11:21,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Ballymun
27/01/2009 17:18,255,255,Dog,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Clonsilla
28/01/2009 13:40,255,510,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
28/01/2009 14:41,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Terenure
30/01/2009 10:43,255,255,Unknown - Heavy Livestock Animal,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dalkey
30/01/2009 12:17,255,255,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Templeogue
30/01/2009 23:36,255,255,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Cabra
31/01/2009 09:47,255,255,Dog,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Glasnevin
01/02/2009 08:48,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Smithfield
01/02/2009 09:30,255,255,Fox,Outdoor,Animal rescue from below ground,Wild animal rescue from below ground,Clontarf
04/02/2009 00:25,255,255,Fox,Outdoor,Animal rescue from below ground,Wild animal rescue from below ground,Santry
04/02/2009 17:47,255,255,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Portobello
06/02/2009 09:08,255,765,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Killiney
06/02/2009 14:42,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Leopardstown
06/02/2009 17:14,255,255,Cat,Dwelling,Animal rescue from water,Animal rescue from water - Domestic pet,Leopardstown
06/02/2009 19:29,255,255,Ca&,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Leopardstown
07/02/2009 11:12,255,255,Bird,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Bird,Harolds Cross
07/02/2009 12:43,255,255,Unknown - Heavy Livestock Animal,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Ballyfermot
08/02/2009 00:59,255,255,Cat,Other Residential,Other animal assistance,Animal assistance involving livestock - Other action,Drumcondra
08/02/2009 12:08,255,255,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Milltown
14/02/2009 11:38,255,255,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Glasnevin
15/02/2009 15:53,255,255,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Stepaside
16/02/2009 11:13,255,255,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Ranelagh
17/02/2009 13:23,255,1275,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Cabra
17/02/2009 16:13,255,255,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Donnybrook
18/02/2009 13:22,255,255,Bird,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Bird,Blackrock
20/02/2009 09:35,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Crumlin
21/02/2009 14:08,255,255,Fox,Outdoor Structure,Animal rescue from height,Wild animal rescue from height,Leopardstown
21/02/2009 16:12,255,255,Cat,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Clontarf
22/02/2009 13:17,255,255,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Dun laoighre
22/02/2009 17:22,255,255,Unknown - Domestic Animal Or Pet,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Walkinstown
23/02/2009 15:28,255,255,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dalkey
23/02/2009 16:56,255,255,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Milltown
25/02/2009 22:18,255,510,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Clonsilla
27/02/2009 16:35,255,255,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Crumlin
01/03/2009 08:31,255,255,Dog,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Ballymun
02/03/2009 14:29,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
03/03/2009 11:05,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
03/03/2009 12:54,255,255,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Dalkey
04/03/2009 18:36,255,255,Dog,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,Dun laoighre
04/03/2009 21:44,255,255,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
04/03/2009 23:35,255,255,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Walkinstown
06/03/2009 15:22,255,510,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Dalkey
06/03/2009 20:25,255,255,Dog,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Portobello
07/03/2009 15:00,255,255,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Smithfield
07/03/2009 22:52,255,255,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Templeogue
08/03/2009 23:54,255,255,Cat,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
10/03/2009 10:18,255,510,Cat,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Belfield
12/03/2009 11:51,255,765,Horse,Outdoor,Other animal assistance,Animal assistance - Lift heavy livestock animal,Crumlin
12/03/2009 13:51,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Belfield
12/03/2009 14:36,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
14/03/2009 20:06,255,510,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
14/03/2009 21:29,255,255,Unknown - Heavy Livestock Animal,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
15/03/2009 14:59,255,255,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Smithfield
15/03/2009 15:55,255,255,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Cabra
16/03/2009 19:56,255,255,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Milltown
18/03/2009 09:37,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
18/03/2009 11:23,255,510,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Dalkey
18/03/2009 11:46,255,255,Sheep,Outdoor,Animal rescue from water,Animal rescue from water - Farm animal,Milltown
18/03/2009 22:07,255,255,Cat,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dundrum
20/03/2009 13:35,255,255,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Ranelagh
20/03/2009 16:36,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Temple Bar
21/03/2009 09:22,255,255,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Ballymun
21/03/2009 16:01,255,255,Unknown - Heavy Livestock Animal,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Glasnevin
21/03/2009 18:24,255,255,Cat,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Templeogue
25/03/2009 19:53,255,255,Dog,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Stepaside
25/03/2009 23:32,255,255,Cat,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Blackrock
26/03/2009 16:04,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Leopardstown
26/03/2009 19:39,255,255,Dog,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Crumlin
28/03/2009 03:28,255,255,Dog,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Perrystown
28/03/2009 10:51,255,255,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
28/03/2009 16:00,255,255,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Ballyfermot
28/03/2009 18:12,255,255,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Donnybrook
28/03/2009 18:38,255,255,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Ballymun
29/03/2009 11:37,255,255,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Ballymun
31/03/2009 07:40,255,255,Cat,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
31/03/2009 21:00,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dundrum
31/03/2009 23:41,255,255,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dalkey
01/04/2009 07:01,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dundrum
02/04/2009 11:59,260,260,Dog,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Dundrum
03/04/2009 01:27,260,260,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Dun laoighre
05/04/2009 11:35,260,260,Ca$,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Ballymun
06/04/2009 12:12,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Clontarf
06/04/2009 16:20,260,260,Dog,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Walkinstown
08/04/2009 14:31,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
10/04/2009 04:39,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
10/04/2009 09:58,260,260,Bir*,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
11/04/2009 11:47,260,260,Unknown - Domestic Animal Or Pet,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Portobello
11/04/2009 15:03,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Drumcondra
11/04/2009 15:08,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Sutton
11/04/2009 23:32,260,520,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Tallaght
12/04/2009 22:40,260,260,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Smithfield
13/04/2009 14:10,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathmines
13/04/2009 17:15,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Smithfield
16/04/2009 13:27,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
17/04/2009 16:12,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
17/04/2009 22:04,260,260,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Perrystown
19/04/2009 09:25,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Drumcondra
19/04/2009 11:10,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Harolds Cross
19/04/2009 20:05,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dalkey
20/04/2009 11:27,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Clontarf
20/04/2009 15:43,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
22/04/2009 07:12,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Perrystown
22/04/2009 13:05,260,260,Dog,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Glasnevin
22/04/2009 18:11,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Glasnevin
23/04/2009 10:34,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dalkey
23/04/2009 19:36,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Ranelagh
23/04/2009 22:55,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathfarnham
24/04/2009 10:23,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dalkey
24/04/2009 14:47,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Temple Bar
25/04/2009 10:41,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Sutton
25/04/2009 12:32,260,260,Cat,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Rathfarnham
25/04/2009 13:25,260,260,Cat,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Rathfarnham
26/04/2009 10:51,260,260,Cat,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Santry
26/04/2009 16:22,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
26/04/2009 23:00,260,260,Cat,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
29/04/2009 02:27,260,260,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Stepaside
29/04/2009 06:57,260,260,Cat,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
29/04/2009 19:45,260,260,Dog,Non Residential,Animal rescue from height,Animal rescue from height - Domestic pet,Santry
01/05/2009 10:15,260,260,Cat,Dwelling,Animal rescue from water,Animal rescue from water - Domestic pet,Ballyfermot
01/05/2009 13:03,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Leopardstown
01/05/2009 23:19,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Drumcondra
02/05/2009 13:52,260,260,Fox,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,Perrystown
02/05/2009 16:00,260,260,Cat,Dwelling,Animal rescue from below ground,Wild animal rescue from below ground,Leopardstown
02/05/2009 18:12,260,520,Dog,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Temple Bar
03/05/2009 09:37,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
04/05/2009 16:19,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Drumcondra
04/05/2009 19:27,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Rathfarnham
05/05/2009 11:06,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Harolds Cross
06/05/2009 13:34,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Ballyfermot
06/05/2009 16:30,260,260,Dog,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Perrystown
06/05/2009 18:12,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Terenure
07/05/2009 10:46,260,520,Horse,Outdoor,Animal rescue from water,Wild animal rescue from water or mud,Temple Bar
08/05/2009 20:14,260,780,Deer,Outdoor,Other animal assistance,Animal assistance - Lift heavy livestock animal,Smithfield
09/05/2009 20:35,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Dundrum
09/05/2009 23:37,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Dun laoighre
10/05/2009 08:09,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
10/05/2009 11:30,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
11/05/2009 07:45,260,1820,Cat,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Stepaside
11/05/2009 09:34,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Santry
11/05/2009 09:57,260,260,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Clontarf
11/05/2009 16:06,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
11/05/2009 18:06,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Clontarf
12/05/2009 11:51,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Portobello
12/05/2009 17:47,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Portobello
12/05/2009 18:55,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Rathfarnham
12/05/2009 19:45,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Dundrum
13/05/2009 16:36,260,260,Squirrel,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Clontarf
13/05/2009 19:22,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Santry
13/05/2009 19:44,260,780,Fox,Dwelling,Animal rescue from below ground,Wild animal rescue from below ground,Stepaside
14/05/2009 15:16,260,260,Bird,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Bird,Temple Bar
15/05/2009 09:56,260,520,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Glasnevin
15/05/2009 14:53,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Killester
15/05/2009 16:50,260,260,Cat,Outdoor Structure,Animal rescue from height,Animal rescue from height - Domestic pet,Stepaside
16/05/2009 13:20,260,260,Dog,Road Vehicle,Other animal assistance,Animal assistance - Lift heavy livestock animal,Blackrock
16/05/2009 14:28,260,260,Dog,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Terenure
16/05/2009 17:09,260,260,Dog,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Belfield
17/05/2009 09:54,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Ranelagh
18/05/2009 13:44,260,1040,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Belfield
19/05/2009 10:38,260,260,Bird,Non Residential,Animal rescue from below ground,Animal rescue from below ground - Bird,Smithfield
19/05/2009 11:35,260,260,Bird,Outdoor Structure,Animal rescue from height,Animal rescue from height - Bird,Temple Bar
19/05/2009 17:46,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Killester
19/05/2009 19:07,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Smithfield
20/05/2009 00:18,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Ballymun
20/05/2009 11:36,260,260,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
22/05/2009 10:30,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Clontarf
22/05/2009 16:24,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Ballyfermot
23/05/2009 06:21,260,260,Cat,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Cabra
24/05/2009 10:18,260,260,Bird,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Bird,Temple Bar
24/05/2009 14:53,260,520,Horse,Outdoor,Animal rescue from water,Animal rescue from water - Farm animal,Milltown
24/05/2009 16:46,260,260,Dog,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Milltown
27/05/2009 08:42,260,260,Cat,Dwelling,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Clontarf
28/05/2009 11:11,260,260,Horse,Outdoor,Animal rescue from water,Animal rescue from water - Farm animal,Milltown
28/05/2009 17:20,260,260,Bird,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
29/05/2009 12:24,260,260,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Clonsilla
29/05/2009 15:19,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Walkinstown
31/05/2009 14:28,260,260,Unknown - Domestic Animal Or Pet,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Rathmines
31/05/2009 15:52,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Dun laoighre
01/06/2009 14:14,260,260,Squirrel,Dwelling,Animal rescue from height,Wild animal rescue from height,Milltown
01/06/2009 19:49,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Temple Bar
01/06/2009 21:43,260,260,Cat,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Stepaside
01/06/2009 23:58,260,260,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Cabra
02/06/2009 10:12,260,260,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Rathfarnham
02/06/2009 11:15,260,260,Cat,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Terenure
02/06/2009 13:28,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Killester
02/06/2009 13:49,260,260,Bird,Outdoor,Animal rescue from height,Animal rescue from height - Bird,Walkinstown
02/06/2009 16:50,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Clontarf
03/06/2009 11:03,260,260,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Terenure
03/06/2009 12:03,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Milltown
03/06/2009 21:28,260,260,Dog,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Smithfield
04/06/2009 16:17,260,260,Bird,Dwelling,Animal rescue from height,Animal rescue from height - Bird,Ranelagh
04/06/2009 21:37,260,260,Unknown - Wild Animal,Dwelling,Animal rescue from water,Wild animal rescue from water or mud,Blackrock
05/06/2009 17:39,260,260,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Santry
05/06/2009 18:10,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Ballyfermot
05/06/2009 18:37,260,260,Bird,Non Residential,Animal rescue from height,Animal rescue from height - Bird,Ballyfermot
06/06/2009 19:29,260,260,Dog,Dwelling,Animal rescue from height,Animal rescue from height - Domestic pet,Belfield
06/06/2009 20:03,260,260,Unknown - Heavy Livestock Animal,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
